timestamp,score,group,major,ai_usage,EE1,EE2,EE3,EE4,EE5,PE1,PE2,PE3,PE4,PE5,SI1,SI2,SI3,SI4,SI5,FC1,FC2,FC3,FC4,FC5,RA1,RA2,RA3,RA4,RA5,ANX1,ANX2,ANX3,ANX4,ANX5,BI1,BI2,BI3,BI4,BI5,open_q1,open_q2,open_q3
14/08/2026 20:39:58,,"Đã tốt nghiệp, đang đi làm dưới 2 năm",Khoa học xã hội / Nhân văn / Ngôn ngữ,Dùng thường xuyên (vài lần/tuần trở lên),4,4,5,4,4,5,5,5,4,5,4,4,4,4,5,5,4,5,3,5,4,5,5,4,5,5,4,4,3,5,4,3,4,4,5,Chưa thấy,,Sài điện thoại
14/08/2026 21:58:55,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),3,3,3,3,3,4,4,3,4,4,3,3,2,3,3,4,2,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,AI làm quá tệ,Không được sài AI lộ liễu,Chỉ giúp trong việc lên ý tưởng
14/08/2026 21:58:55,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),3,3,3,3,3,4,4,3,4,4,3,3,2,3,3,4,2,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,AI làm quá tệ,Không được sài AI lộ liễu,Chỉ giúp trong việc lên ý tưởng
14/08/2026 21:59:11,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),4,4,5,4,5,4,4,3,5,5,4,3,4,3,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,Phụ thuộc AI,Có,Chuyên đề
14/08/2026 21:59:11,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),4,4,5,4,5,4,4,3,5,5,4,3,4,3,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,Phụ thuộc AI,Có,Chuyên đề
14/08/2026 22:12:35,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,,,
14/08/2026 22:12:35,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,,,
14/08/2026 22:16:09,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,,,
14/08/2026 22:16:09,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,,,
14/08/2026 22:30:40,,"Đã tốt nghiệp, đang đi làm dưới 2 năm",Kinh tế / Quản trị / Kế toán,Dùng thường xuyên (vài lần/tuần trở lên),4,4,4,4,4,4,4,1,4,4,3,4,4,3,4,1,2,4,3,3,5,4,5,5,5,5,5,5,4,4,3,3,4,3,3,Sợ phụ thuộc,có,
14/08/2026 22:34:47,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,nghèo,không,không
14/08/2026 22:34:47,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,nghèo,không,không
14/08/2026 22:47:15,,Sinh viên năm cuối (chưa tốt nghiệp),Khoa học xã hội / Nhân văn / Ngôn ngữ,Dùng thường xuyên (vài lần/tuần trở lên),4,4,3,4,4,5,4,4,5,4,3,4,1,3,3,5,4,5,4,4,5,5,5,5,5,2,2,4,4,4,4,5,4,3,4,,,
14/08/2026 22:47:15,,Sinh viên năm cuối (chưa tốt nghiệp),Khoa học xã hội / Nhân văn / Ngôn ngữ,Dùng thường xuyên (vài lần/tuần trở lên),4,4,3,4,4,5,4,4,5,4,3,4,1,3,3,5,4,5,4,4,5,5,5,5,5,2,2,4,4,4,4,5,4,3,4,,,
14/08/2026 22:53:03,,"Đã tốt nghiệp, đang đi làm dưới 2 năm",Ngành khác: ___________________________,Đã thử 1–2 lần,3,4,3,4,3,3,2,2,4,3,4,4,1,1,3,4,3,3,3,3,5,5,5,5,5,4,5,5,4,3,1,5,3,5,3,"Việc đầu vào không minh bạch, không đảm bảo quyền lợi cho những người bị đánh cắp dữ liệu cũng như bản quyền và lợi ích họ đáng nhận được. Chưa kể đến việc làm lộ thông tin, tạo thông tin/ hình ảnh giả từ AI đã gây nên rất nhiều mâu thuẫn ",Chưa,
14/08/2026 22:53:03,,"Đã tốt nghiệp, đang đi làm dưới 2 năm",Ngành khác: ___________________________,Đã thử 1–2 lần,3,4,3,4,3,3,2,2,4,3,4,4,1,1,3,4,3,3,3,3,5,5,5,5,5,4,5,5,4,3,1,5,3,5,3,"Việc đầu vào không minh bạch, không đảm bảo quyền lợi cho những người bị đánh cắp dữ liệu cũng như bản quyền và lợi ích họ đáng nhận được. Chưa kể đến việc làm lộ thông tin, tạo thông tin/ hình ảnh giả từ AI đã gây nên rất nhiều mâu thuẫn ",Chưa,
14/08/2026 23:12:04,,Sinh viên năm cuối (chưa tốt nghiệp),Ngành khác: ___________________________,Dùng thường xuyên (vài lần/tuần trở lên),3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
14/08/2026 23:12:04,,Sinh viên năm cuối (chưa tốt nghiệp),Ngành khác: ___________________________,Dùng thường xuyên (vài lần/tuần trở lên),3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
14/08/2026 23:13:53,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),1,5,4,1,5,5,5,5,5,5,4,2,2,2,4,4,1,5,2,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,Hết token,Chưa,Workshop
14/08/2026 23:13:53,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),1,5,4,1,5,5,5,5,5,5,4,2,2,2,4,4,1,5,2,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,Hết token,Chưa,Workshop
14/08/2026 23:19:02,,Sinh viên năm cuối (chưa tốt nghiệp),Ngành khác: ___________________________,Dùng thường xuyên (vài lần/tuần trở lên),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Al ko thật sự hiểu vấn đề mà chỉ đưa ra các biện pháp chung chung,Không hẳn,Chắc là hướng dẫn sv cách sử dụng Al thông minh hơn
14/08/2026 23:19:02,,Sinh viên năm cuối (chưa tốt nghiệp),Ngành khác: ___________________________,Dùng thường xuyên (vài lần/tuần trở lên),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Al ko thật sự hiểu vấn đề mà chỉ đưa ra các biện pháp chung chung,Không hẳn,Chắc là hướng dẫn sv cách sử dụng Al thông minh hơn
14/08/2026 23:38:21,,Sinh viên năm cuối (chưa tốt nghiệp),Kinh tế / Quản trị / Kế toán,Dùng thường xuyên (vài lần/tuần trở lên),4,5,4,3,4,4,4,4,4,4,4,5,4,3,4,5,4,4,2,4,5,5,5,5,5,2,3,4,3,3,4,4,4,4,4,,,
14/08/2026 23:38:21,,Sinh viên năm cuối (chưa tốt nghiệp),Kinh tế / Quản trị / Kế toán,Dùng thường xuyên (vài lần/tuần trở lên),4,5,4,3,4,4,4,4,4,4,4,5,4,3,4,5,4,4,2,4,5,5,5,5,5,2,3,4,3,3,4,4,4,4,4,,,
14/08/2026 23:43:59,,Sinh viên năm cuối (chưa tốt nghiệp),Kinh tế / Quản trị / Kế toán,Dùng thường xuyên (vài lần/tuần trở lên),4,5,3,5,4,5,5,5,5,5,4,3,4,3,5,5,4,4,3,5,5,5,5,5,5,2,3,4,5,4,4,5,5,5,5,Không có.,Đã có đào tạo.,"Như là việc chỉ sử dụng AI trong việc góp ý, thêm thắt chỉnh sửa trong công việc, không để AI là thứ quyết định chính."
14/08/2026 23:43:59,,Sinh viên năm cuối (chưa tốt nghiệp),Kinh tế / Quản trị / Kế toán,Dùng thường xuyên (vài lần/tuần trở lên),4,5,3,5,4,5,5,5,5,5,4,3,4,3,5,5,4,4,3,5,5,5,5,5,5,2,3,4,5,4,4,5,5,5,5,Không có.,Đã có đào tạo.,"Như là việc chỉ sử dụng AI trong việc góp ý, thêm thắt chỉnh sửa trong công việc, không để AI là thứ quyết định chính."
14/08/2026 23:52:59,,"Đã tốt nghiệp, đang đi làm dưới 2 năm",Kinh tế / Quản trị / Kế toán,Đã thử 1–2 lần,5,4,5,4,4,4,5,3,4,4,4,4,3,5,3,3,3,4,4,4,4,3,3,2,5,4,3,4,3,4,3,4,5,4,5,Sợ phụ thuộc,Chưa,
14/08/2026 23:52:59,,"Đã tốt nghiệp, đang đi làm dưới 2 năm",Kinh tế / Quản trị / Kế toán,Đã thử 1–2 lần,5,4,5,4,4,4,5,3,4,4,4,4,3,5,3,3,3,4,4,4,4,3,3,2,5,4,3,4,3,4,3,4,5,4,5,Sợ phụ thuộc,Chưa,
15/08/2026 00:33:36,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Sự thiếu chính xác, chưa khách quan về thông tin của AI",Chưa,
15/08/2026 00:33:36,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Sự thiếu chính xác, chưa khách quan về thông tin của AI",Chưa,
15/08/2026 02:27:36,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),5,4,5,4,5,4,4,1,5,5,3,4,4,4,4,5,4,4,5,5,5,5,5,5,5,4,4,5,3,5,3,1,3,4,3,Không,không,Chưa từng có
15/08/2026 06:51:11,,Sinh viên năm cuối (chưa tốt nghiệp),Kỹ thuật / CNTT / Khoa học dữ liệu,Dùng thường xuyên (vài lần/tuần trở lên),3,4,5,2,3,4,4,4,4,3,5,3,3,3,3,1,2,4,1,1,4,3,4,4,4,4,2,4,3,3,4,3,5,5,5,Thông tin không được xác thực,"Chưa có đào tạo chính thức, chủ yếu tự học và tự ý thức.",
